"gene_symbol","RankMetric_GSE104645","RankMetric_GSE28702","RankMetric_GSE39582","RankMetric_GSE69657","RankMetric_GSE72970","N_datasets","MetaRankMetric"
"LOC221946",NA,-0.912005948362805,0.10264544023691,-0.212732647575308,-0.735887146893867,4,-0.439495075648767
"EMP3",0.19343960763393,-0.598888759439869,0.203079242366954,-1.61089640344199,-0.384233274040977,5,-0.439499917384391
"LOC100507506",NA,0.317588951545437,-1.57248319323004,-0.20661962176384,-0.296501326043884,4,-0.439503797373081
"SNAPC2",0.280090266939859,-0.541445473177481,-0.451092698107271,-0.699485221912995,-0.786545481854285,5,-0.439695721622435
"LINC01189 /// LOC101927827",NA,-1.09040977642285,-0.325069216845211,-0.0198729122601507,-0.32397366272116,4,-0.439831392062342
"TPSAB1 /// TPSB2",NA,-0.0998262360275186,-1.04519540275215,0.0835674166833538,-0.698211148097078,4,-0.439916342548348
"C18orf49 /// ZCCHC2",NA,-1.35455226944351,-0.0138412922806445,0.0355683579955397,-0.426970243787843,4,-0.439948861879115
"FETUB",-0.876658257756087,0.262337424931412,-1.00476536410505,0.0170919553568192,-0.59808908328677,5,-0.440016664971934
"MIR124-2HG",0.258318583868715,-0.977508500583538,-1.1880193336656,0.317112416055497,-0.61032605692315,5,-0.440084578249615
"LINC00445",NA,-0.367918857125864,-0.55880206568473,0.283039620653734,-1.11730009284621,4,-0.440245348750767
"LOC100287098",NA,-0.0865394714135378,-1.04854460235991,0.282157620749277,-0.908130012798598,4,-0.440264116455693
"LOC728353",NA,-0.578651427773578,-1.16072925200977,0.90406424709603,-0.925991452368709,4,-0.440326971264006
"ZNF583",-0.125163298792885,-0.711547624669157,0.553113757949587,-1.32968356693291,-0.588406712626603,5,-0.440337489014393
"PDLIM5",-0.50277270803571,-0.940863095835044,1.48408176354902,-1.35001479919632,-0.892757203407156,5,-0.440465208585042
"LOC101930026",NA,-0.213728875205156,-0.763251978355781,-0.0499674689403079,-0.735224818643649,4,-0.440543285286223
"PRKAR1AP /// PRKAR1AP",NA,0.00163296165771371,-1.40906150704482,0.244420848535198,-0.599459886556348,4,-0.440616895852065
"UCMA",0.151937338477248,-0.646893699788441,-1.45247475872414,-0.251912608736469,-0.00374189343925511,5,-0.440617124442211
"SMC5-AS1",NA,0.124803514039616,-0.705555517237449,-1.30040669534881,0.118432311788083,4,-0.44068159668964
"NLRP14",-0.432141540789553,-0.761791439648508,-1.19723858055344,0.201447753835442,-0.0138700629568687,5,-0.440718774022586
"CDK11A /// CDK11B",NA,-0.707822879571673,-0.697548103571987,0.542276727362085,-0.900024534523232,4,-0.440779697576202
"LOC729658",NA,-1.51495931438357,-0.16870902589403,0.337633076672827,-0.417832694086566,4,-0.440966989422834
"LOC399884",NA,-0.839237925013923,-0.772244200346488,-0.056662371130113,-0.0957870279760307,4,-0.440982881116639
"HSFY1 /// HSFY2",NA,-3.16060318325656,0.393569697064689,0.942004733091763,0.0610200317100998,4,-0.441002180347502
"ATP1A2",0.246356789143534,-1.01890605663681,0.641158155715978,-1.35168641168421,-0.722475572642707,5,-0.441110619220842
