"Arm","k","C_train","C_test"
"Gene",30,0.839243776420855,0.523020257826888
"Pathway",30,0.723226867073744,0.651933701657459
"Gene",50,0.898426491310474,0.558011049723757
"Pathway",50,0.750352278064819,0.615101289134438
"Gene",2,0.661978221415608,0.53125
"Pathway",2,0.605376588021779,0.535416666666667
"Gene",3,0.718806715063521,0.564583333333333
"Pathway",3,0.605263157894737,0.5375
"Gene",5,0.749432849364791,0.525
"Pathway",5,0.607872050816697,0.539583333333333
"Gene",7,0.756238656987296,0.539583333333333
"Pathway",7,0.61785390199637,0.610416666666667
"Gene",10,0.788566243194192,0.45
"Pathway",10,0.62568058076225,0.602083333333333
"Gene",15,0.806715063520871,0.435416666666667
"Pathway",15,0.671052631578947,0.625
"Gene",20,0.809323956442831,0.445833333333333
"Pathway",20,0.662205081669691,0.58125
"Gene",30,0.838929219600726,0.520833333333333
"Pathway",30,0.682509074410163,0.604166666666667
"Gene",50,0.887931034482759,0.483333333333333
"Pathway",50,0.746710526315789,0.522916666666667
"Gene",2,0.625913699599151,0.474060822898032
"Pathway",2,0.599269040320679,0.570661896243292
"Gene",3,0.691110587125678,0.445438282647585
"Pathway",3,0.621079933977835,0.652951699463327
"Gene",5,0.72199952841311,0.431127012522361
"Pathway",5,0.62473473237444,0.645796064400716
"Gene",7,0.738151379391653,0.452593917710197
"Pathway",7,0.633341193114831,0.670840787119857
"Gene",10,0.778707851921717,0.516994633273703
"Pathway",10,0.646663522754067,0.644007155635063
"Gene",15,0.796156566847442,0.45438282647585
"Pathway",15,0.666941759019099,0.570661896243292
"Gene",20,0.815963216222589,0.465116279069767
"Pathway",20,0.723178495637821,0.586762075134168
"Gene",30,0.813251591605753,0.449016100178891
"Pathway",30,0.733789200660222,0.567084078711986
"Gene",50,0.850624852629097,0.465116279069767
"Pathway",50,0.752770572978071,0.547406082289803
"Gene",2,0.676501457725947,0.540076335877863
"Pathway",2,0.628804664723032,0.480916030534351
"Gene",3,0.701690962099125,0.530534351145038
"Pathway",3,0.632536443148688,0.49236641221374
"Gene",5,0.753702623906706,0.509541984732824
"Pathway",5,0.633119533527697,0.513358778625954
"Gene",7,0.779941690962099,0.517175572519084
"Pathway",7,0.643148688046647,0.520992366412214
"Gene",10,0.775510204081633,0.515267175572519
"Pathway",10,0.647580174927114,0.547709923664122
"Gene",15,0.786122448979592,0.562977099236641
"Pathway",15,0.67533527696793,0.50763358778626
"Gene",20,0.794169096209912,0.551526717557252
"Pathway",20,0.695043731778426,0.541984732824427
"Gene",30,0.798950437317784,0.543893129770992
"Pathway",30,0.743790087463557,0.532442748091603
"Gene",50,0.853177842565598,0.570610687022901
"Pathway",50,0.775626822157434,0.419847328244275
"Gene",2,0.680379015484169,0.637450199203187
"Pathway",2,0.596487173561359,0.675298804780876
"Gene",3,0.697365380171019,0.627490039840637
"Pathway",3,0.602380402126184,0.661354581673307
"Gene",5,0.717818349896002,0.683266932270916
"Pathway",5,0.603304830136353,0.595617529880478
"Gene",7,0.740235729142593,0.625498007968127
"Pathway",7,0.6358909174948,0.709163346613546
"Gene",10,0.758146521839612,0.591633466135458
"Pathway",10,0.643864109082505,0.693227091633466
"Gene",15,0.783568292119251,0.551792828685259
"Pathway",15,0.65183730067021,0.699203187250996
"Gene",20,0.805870117864571,0.577689243027888
