"Gene","Module","ModuleLabel","GS_resistant","GS_pval","MM_ME1","MM_ME1_pval","MM_ME3","MM_ME3_pval","MM_ME2","MM_ME2_pval","MM_ME4","MM_ME4_pval","MM_ME0","MM_ME0_pval"
"205097_at","grey",0,-0.0308536460381152,0.635073469117986,-0.18780388725285,0.00356681270804158,-0.0432838592567392,0.505439087018753,-0.172971223700996,0.00735598284903165,0.139546659629126,0.031037504406378,0.378325785491771,1.50094167940695e-09
"206224_at","grey",0,0.0327840056108971,0.614045769994196,0.354625600543336,1.72100703030371e-08,0.206208349229301,0.00134728188073152,0.184277316296579,0.00425726158285407,0.000215125195614362,0.997360348394068,0.0187282376459527,0.77331699929855
"213680_at","grey",0,0.0616373184912992,0.342724112306828,0.265602871869899,3.18878587990686e-05,0.0349292856503905,0.591042033724591,0.149064681820203,0.0211499559071978,0.0371234490014607,0.567930089014525,-0.160515492658034,0.0129685697327481
"222484_s_at","grey",0,0.0277499951570358,0.669497643037865,-0.108583794260033,0.09396966644069,-0.0239179559566048,0.712965183438809,-0.193738142420972,0.00263001414491515,-0.0100416157344392,0.877270998903627,0.337598581780188,8.81143105430441e-08
"223121_s_at","turquoise",1,-0.0108819748707643,0.867091353132613,0.802135343395365,5.48657002578567e-55,0.652876205418496,2.02182043160527e-30,0.623290004462469,4.03077573626198e-27,0.254816885846653,6.75665229804308e-05,-0.336094290123414,1.01319284316271e-07
"218002_s_at","grey",0,0.0336392463852169,0.604828021134331,-0.107710126916569,0.0966603344357305,-0.028487240762706,0.661254296233294,-0.207398088140823,0.00126139796981111,-0.0256956488496887,0.692674848976719,0.360017150487698,1.00528856600001e-08
"203820_s_at","grey",0,-0.0117650438062482,0.856417923796063,0.0834246401509958,0.198724691326912,-0.0393820898628084,0.544597442609036,0.192627185985456,0.00278623905126335,0.0825956905001511,0.203238466974347,-0.168805179226362,0.00892865558313027
"214768_x_at","yellow",4,-0.0120873428336897,0.852528761899874,0.23355475417504,0.000270275924355283,0.152890380816964,0.0180223809068288,0.549668152062116,2.86294700834443e-20,0.92538214143387,7.84529360297457e-102,-0.328053275428226,2.11070643406574e-07
"217238_s_at","grey",0,0.0460237499558853,0.47884901081656,-0.0951351612017274,0.142547247817577,-0.124374546229781,0.0548370222853147,-0.0141976790628663,0.827155592701063,0.180920039541917,0.00502415894670973,-0.0604447982631794,0.35216100762862
"211506_s_at","grey",0,0.0295534547678117,0.649404732332092,0.365234447470319,5.91802124531144e-09,0.0289621850618287,0.655965270833923,0.391273789497959,3.63492613754496e-10,0.141478919819027,0.0287604050142355,-0.186385708507446,0.00383128271373625
"230030_at","grey",0,0.0202769069927319,0.755145418661826,0.145938184283851,0.024044645129124,0.00143854903119774,0.982349964278241,0.157943890274539,0.0145128008659234,0.0357700403967426,0.582135331813549,0.0670443097367853,0.301974819923332
"215176_x_at","yellow",4,-0.0138370706143404,0.831479375413274,0.256449239655874,6.04345559542177e-05,0.16653878479901,0.00990393041331515,0.580819798626979,5.86972325345498e-23,0.941207694633618,1.09950972997674e-113,-0.311337747917224,9.08352013522528e-07
"205242_at","grey",0,-0.0754455960490961,0.245275115071981,0.258454172953632,5.26430264701375e-05,0.194245594353571,0.00256133840228778,0.644979135195921,1.66777838197736e-29,0.54434977156735,7.7307419775741e-20,-0.251178329158846,8.6410411312228e-05
"219795_at","grey",0,0.0928250569542097,0.152542722055916,-0.189856516352084,0.00321320533018237,-0.273045052378892,1.86335982476598e-05,-0.0321376833500514,0.621052337721905,0.188478941836354,0.0034468181638244,0.0326728882529929,0.615247891231206
