"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Direction","Significance","Dataset","gene_symbol"
"A_23_P202206",-0.0900720345123699,-0.144055873322656,-0.622798115074706,0.534603506218183,0.999892187031336,-4.67405779686512,"A_23_P202206","down","NS","GSE104645","GSTO2"
"A_23_P211504",0.101397370095807,-0.0321528657492364,0.622748673356266,0.534635890813414,0.999892187031336,-4.67406442167382,"A_23_P211504","up","NS","GSE104645","KDELR3"
"A_23_P419760",0.114957019853638,0.0660495724250826,0.62271729769417,0.53465644256302,0.999892187031336,-4.67406862550076,"A_23_P419760","up","NS","GSE104645","CRISP3"
"A_24_P126425",0.0869817816751781,-0.133155562815647,0.622686984315534,0.534676298876898,0.999892187031336,-4.6740726868002,"A_24_P126425","up","NS","GSE104645","FAM188B"
"A_23_P377957",-0.135936941343473,0.183652881562597,-0.622474262305509,0.534815649764718,0.999892187031336,-4.67410118118698,"A_23_P377957","down","NS","GSE104645","KCTD12"
"A_23_P433785",-0.109928041006193,-0.132368055906437,-0.622460007987443,0.534824988210399,0.999892187031336,-4.67410309022717,"A_23_P433785","down","NS","GSE104645","P2RX5"
"A_23_P131263",0.133339311713481,-0.0339405106743206,0.622282300123309,0.534941417132276,0.999892187031336,-4.67412688650749,"A_23_P131263","up","NS","GSE104645","MPP4"
"A_24_P399500",-0.124779548832494,0.0568588526612499,-0.622077874207202,0.535075366935881,0.999892187031336,-4.6741542522081,"A_24_P399500","down","NS","GSE104645","PCP2"
"A_32_P127350",0.11467048740609,-0.10657202617891,0.621948825134985,0.535159934981412,0.999892187031336,-4.67417152292818,"A_32_P127350","up","NS","GSE104645","LINC00461"
"A_24_P97836",0.127559972059496,-0.161579010436369,0.621867818804668,0.535213023288956,0.999892187031336,-4.67418236224788,"A_24_P97836","up","NS","GSE104645","RAD17"
"A_23_P420551",-0.111485517958125,-0.00420172924127183,-0.621779736252238,0.535270752119879,0.999892187031336,-4.67419414684103,"A_23_P420551","down","NS","GSE104645","CIT"
"A_23_P58443",-0.149516151362267,-0.0548497125313964,-0.621769383436136,0.535277537508565,0.999892187031336,-4.67419553183928,"A_23_P58443","down","NS","GSE104645","ANKHD1-EIF4EBP3"
