"Gene","Module","ModuleLabel","GS_resistant","GS_pval","MM_ME1","MM_ME1_pval","MM_ME3","MM_ME3_pval","MM_ME2","MM_ME2_pval","MM_ME4","MM_ME4_pval","MM_ME0","MM_ME0_pval","HubScore"
"204793_at","brown",3,0.157647424042184,0.0147007917970562,0.59800525630235,1.43988795257522e-24,0.734877231586135,7.55401602983061e-42,0.263048468730837,3.82064934386673e-05,0.0384313881972553,0.554360685650042,0.192607932742892,0.00278901920413985,0.115851502546806
"209242_at","brown",3,0.132035514507922,0.0414046074817967,0.729783326489111,5.11964100460882e-41,0.85504897386012,1.53563088288827e-69,0.404561449360208,7.94404151889906e-11,0.176278391327579,0.00628862751909006,-0.170288942133933,0.00833726685170028,0.112896831193092
"235183_at","brown",3,0.120689546300207,0.0624836445017649,0.637123413595262,1.28040540567896e-28,0.868460542240583,3.57894430808285e-74,0.337180771263967,9.16057863649743e-08,0.0793512632255106,0.221617839873157,-0.103814086120231,0.109412152176233,0.104814108822648
"215306_at","brown",3,0.125304324904285,0.0530352791391336,0.709940387566526,5.94430566545431e-38,0.819553435560832,3.03940364098681e-59,0.348175843063208,3.23167970366313e-08,0.0402329409073606,0.535932212205188,-0.0988954706748319,0.127356131326808,0.102693589965937
"226824_at","brown",3,0.108197661970693,0.0951514010495998,0.665409453206733,6.22116925068017e-32,0.88147131696508,3.50288033597139e-79,0.395643867136722,2.2208058220101e-10,0.136167823947261,0.0353892664174998,-0.258516262820271,5.24175459064069e-05,0.0953731355898497
"222717_at","brown",3,0.11111426374374,0.0865120796900216,0.579974921866242,7.00399248790464e-23,0.818957662213868,4.32397574953079e-59,0.374006511672093,2.37621600423586e-09,0.265962051977598,3.10828918089738e-05,-0.204010402174853,0.00152018287607834,0.0909978776741881
"37512_at","brown",3,0.118551137677961,0.0673090678185867,0.694854619328884,8.64051872887831e-36,0.759320035193865,4.03976182549812e-46,0.407718447668651,5.47998752186732e-11,0.120772708905251,0.0623018827882239,-0.226701098138987,0.000411741328652085,0.0900182540339022
"224352_s_at","brown",3,0.109274404389708,0.0918852830709757,0.688252642246781,6.93952315736513e-35,0.823187348086666,3.44023630811127e-60,0.461556297622773,5.1781918053541e-14,0.145465527871039,0.0245106950577629,-0.201709783626364,0.00172271689850278,0.0899533071633141
"204424_s_at","brown",3,0.0982972384431526,0.129685455260113,0.56092747701566,3.29403548645027e-21,0.905689025619562,2.68238925759474e-90,0.240259666286451,0.000176886345979794,0.0379261463789554,0.559583670292884,-0.100718362799628,0.120457543830679,0.0890267301066727
"212136_at","brown",3,0.111371353107408,0.0857817625290173,0.696234834215425,5.5498225699939e-36,0.76688770948018,1.50954435394184e-47,0.435409568231213,1.77753158992385e-12,0.0852236092354158,0.189180393855492,-0.169529185833739,0.00863558814804376,0.0854093218862484
"227526_at","brown",3,0.113227957382768,0.0806535353212537,0.490559003418537,7.08536226770874e-16,0.741635565717488,5.56493028290564e-43,0.179310494315084,0.00543409035503097,-0.022208314275235,0.732671254199384,-0.0976727440634733,0.132151957102278,0.0839738802286046
"220595_at","brown",3,0.0892384441824082,0.169098893248354,0.596623917153477,1.95588201401114e-24,0.922682436140675,4.49517598391314e-100,0.298560379603742,2.61377727151283e-06,0.0766160903550793,0.238007610252174,-0.209899219875219,0.00109699244600032,0.082338745075628
"202565_s_at","brown",3,0.104256440245367,0.107901006557904,0.59094015665736,6.79145499986844e-24,0.755958384860804,1.67364644266065e-45,0.281623757173441,9.83466590966306e-06,-0.022071042709259,0.734261329021707,-0.0638878530466539,0.325356892610571,0.0788135301792244
"1556325_at","brown",3,0.0910486820358824,0.160582590058443,0.619436407264452,1.02209004542275e-26,0.865547918210936,3.99965221581457e-73,0.337187174057317,9.1551290333788e-08,0.0730588537279117,0.260569924368513,-0.167549413732297,0.00945795263725678,0.0788069971920075
"205700_at","brown",3,0.0971505014597688,0.134242199738811,0.698805927117833,2.41660026143843e-36,0.76492221294816,3.5872786383835e-47,0.418295872313466,1.53466569926999e-11,0.138229582747398,0.0326762811845454,-0.246883729980182,0.000114981096722265,0.0743125765656298
"229461_x_at","brown",3,0.0916994283206943,0.157601166273583,0.604577876376194,3.28499768602706e-25,0.809438858883756,1.01858224985233e-56,0.381795151088712,1.03269804327093e-09,0.239688190412724,0.000183481063868051,-0.0591869326922653,0.36229034638013,0.0742250806201956
